site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11739207759	47856042447	600.54	7	3642061931	used	20191002	
ST	11739278735	47670794063	146.58	6	3659324825	new	20191002	
ST	11739278735	48062920015	146.58	3	3659324825	used	20191002	
ST	11739202767	47670391183	108.16	5	3639718798	new	20191002	
ST	11739202767	47856020687	108.16	7	3639718798	used	20191002	
ST	11751639055	47751273935	22.53	7	0142417203	new	20191002	
ST	11751639055	47751273999	21.99	7	0441018742	new	20191002	
ST	11715200847	47477294927	64.58	4	0827205104	new	20191002	
ST	11697877199	47314995791	32.95	6	0814634311	new	20191002	
ST	11759583823	47785862031	22.0	4	0761455264	new	20191002	
ST	11699999887	47336911311	22.91	5	1944515283	new	20191002	
ST	11697862543	47314866831	26.95	3	1683483863	new	20191002	
ST	11727986511	47604298191	50.69	4	1491712023	new	20191002	
ST	11727986511	47819574927	51.06	7	1491712023	used	20191002	
ST	11728537359	47607413583	65.23	3	1138016675	new	20191002	
ST	11728537359	47822540047	46.86	3	1138016675	used	20191002	
ST	11720505231	47531753231	24.2	5	146092536X	new	20191002	
ST	11720505231	47806838607	24.2	5	146092536X	used	20191002	
ST	11758605711	47776000655	22.49	4	0768207134	new	20191002	
ST	11758602639	47775978703	21.97	7	0768206944	new	20191002	
ST	11716920015	47487528591	27.95	7	0800629825	new	20191002	
ST	11821557583	48031068495	136.48	5	331949645X	new	20191002	
ST	11821557583	48055948367	23.94	5	331949645X	used	20191002	
ST	11698723599	47323692303	18.99	4	1589976940	new	20191002	
ST	11728985295	47609691727	31.49	5	3832970169	new	20191002	
ST	11728985295	47826401359	25.77	4	3832970169	used	20191002	
ST	11822120079	48032357327	28.95	4	1523369639	new	20191002	
ST	11822120079	48059254543	28.95	4	1523369639	used	20191002	
ST	11731750991	47629203599	47.92	4	1492970719	new	20191002	
ST	11731750991	48056644623	47.92	5	1492970719	used	20191002	
ST	11731734095	47629115087	30.76	0	1494448297	new	20191002	
ST	11731734095	48056644687	48.69	0	1494448297	used	20191002	
ST	11824309967	48038768463	329.6	5	0691637644	new	20191002	
ST	11824309967	48063815695	327.98	6	0691637644	used	20191002	
ST	11751691023	47751450767	21.91	4	0061134147	new	20191002	
ST	11751691023	47751450831	34.29	7	1481534734	new	20191002	
ST	11825555791	48042521103	28.95	4	1535214511	new	20191002	
ST	11825555791	48443490447	28.95	6	1535214511	used	20191002	
ST	11730070031	47620066319	113.5	4	384336074X	new	20191002	
ST	11730070031	47829642063	113.5	7	384336074X	used	20191002	
ST	11728065295	47604915983	93.97	4	3844382739	new	20191002	
ST	11728065295	47820033039	93.97	5	3844382739	used	20191002	
ST	11719933583	47527283407	145.36	4	363931607X	new	20191002	
ST	11719933583	47805478671	145.36	5	363931607X	used	20191002	
ST	11728276623	47606133263	148.32	7	9048175399	new	20191002	
